# scrollWidth probe @375 — machine-generated 2026-09-21T11:43:02.284Z
# gate (F12-6): scrollWidth ≤ clientWidth on every route × locale
/en/ — scrollWidth=360 clientWidth=375 → OK
/en/menu — scrollWidth=360 clientWidth=375 → OK
/en/reserve — scrollWidth=360 clientWidth=375 → OK
/en/story — scrollWidth=360 clientWidth=375 → OK
/en/gallery — scrollWidth=360 clientWidth=375 → OK
/en/private-dining — scrollWidth=360 clientWidth=375 → OK
/en/contact — scrollWidth=360 clientWidth=375 → OK
/en/confirmation/cmuax6xbe001ypxqpcebj2fv2 — scrollWidth=360 clientWidth=375 → OK
/ar/ — scrollWidth=360 clientWidth=375 → OK
/ar/menu — scrollWidth=360 clientWidth=375 → OK
/ar/reserve — scrollWidth=360 clientWidth=375 → OK
/ar/story — scrollWidth=360 clientWidth=375 → OK
/ar/gallery — scrollWidth=360 clientWidth=375 → OK
/ar/private-dining — scrollWidth=360 clientWidth=375 → OK
/ar/contact — scrollWidth=360 clientWidth=375 → OK
/ar/confirmation/cmuax6xbe001ypxqpcebj2fv2 — scrollWidth=360 clientWidth=375 → OK
GATE F12-6: PASS — no horizontal scroll at 375 on any route × locale
