# scrollWidth probe @375 — machine-generated 2026-09-23T04:02:19.955Z
# gate (F12-6): scrollWidth ≤ clientWidth on every route × locale
/en/ — scrollWidth=360 clientWidth=375 → OK
/en/menu — scrollWidth=360 clientWidth=375 → OK
/en/reserve — scrollWidth=360 clientWidth=375 → OK
/en/story — scrollWidth=360 clientWidth=375 → OK
/en/gallery — scrollWidth=360 clientWidth=375 → OK
/en/private-dining — scrollWidth=360 clientWidth=375 → OK
/en/contact — scrollWidth=360 clientWidth=375 → OK
/en/confirmation/cmudkoe51001y2g2v07zy7mbw — scrollWidth=360 clientWidth=375 → OK
/ar/ — scrollWidth=360 clientWidth=375 → OK
/ar/menu — scrollWidth=360 clientWidth=375 → OK
/ar/reserve — scrollWidth=360 clientWidth=375 → OK
/ar/story — scrollWidth=360 clientWidth=375 → OK
/ar/gallery — scrollWidth=360 clientWidth=375 → OK
/ar/private-dining — scrollWidth=360 clientWidth=375 → OK
/ar/contact — scrollWidth=360 clientWidth=375 → OK
/ar/confirmation/cmudkoe51001y2g2v07zy7mbw — scrollWidth=360 clientWidth=375 → OK
GATE F12-6: PASS — no horizontal scroll at 375 on any route × locale
